ev, sym, v, av, op, vw, o, c, h, l, a, z, n, s, e

AM, AMZN, 5622, 4533388, 2340, 2333.5052, 2332.31, 2334.12, 2334.33, 2332, 2334.6751, 16, 1, 1588704060000, 1588704120000

AM, AMZN, 7414, 4540802, 2340, 2334.9087, 2335.45, 2335.289, 2335.919, 2334.142, 2334.6755, 15, 1, 1588704120000, 1588704180000

AM, AMZN, 8798, 4549600, 2340, 2334.8126, 2334.26, 2335.6312, 2335.6799, 2333.6, 2334.6757, 45, 1, 1588704180000, 1588704240000

AM, AMZN, 2926, 4557138, 2340, 2333.9705, 2334.61, 2334.09, 2334.99, 2334.09, 2334.6751, 14, 1, 1588704300000, 1588704360000

AM, AMZN, 8276, 4565414, 2340, 2333.141, 2333.01, 2333, 2333.4, 2332.71, 2334.6723, 18, 1, 1588704360000, 1588704420000

AM, AMZN, 9600, 4575014, 2340, 2334.7347, 2333.78, 2335.0472, 2336.0128, 2333.78, 2334.6724, 18, 1, 1588704420000, 1588704480000

AM, AMZN, 20092, 4848240, 2340, 2332.8179, 2334.38, 2332.315, 2334.98, 2331.03, 2334.7831, 23, 1, 1588706160000, 1588706220000

AM, AMZN, 26718, 4874958, 2340, 2331.7834, 2331.04, 2331.63, 2332.57, 2330.99, 2334.7666, 29, 1, 1588706220000, 1588706280000

AM, AMZN, 14932, 4912042, 2340, 2331.2774, 2331.03, 2331.6754, 2332.7, 2330, 2334.7409, 22, 1, 1588706340000, 1588706400000

AM, AMZN, 22994, 4945290, 2340, 2330.6737, 2331.49, 2330.16, 2332.1, 2330, 2334.7165, 24, 1, 1588706460000, 1588706520000

AM, AMZN, 7892, 4953182, 2340, 2331.1273, 2330.48, 2331.45, 2332.201, 2330.48, 2334.7108, 18, 1, 1588706520000, 1588706580000

AM, AMZN, 7148, 4960330, 2340, 2331.217, 2331, 2331.115, 2331.89, 2331, 2334.7057, 15, 1, 1588706580000, 1588706640000

AM, AMZN, 10966, 4971296, 2340, 2329.9365, 2330.08, 2329.48, 2330.66, 2329.15, 2334.6952, 17, 1, 1588706640000, 1588706700000

AM, AMZN, 14892, 4986188, 2340, 2330.3094, 2330.01, 2331.29, 2331.61, 2329, 2334.6821, 24, 1, 1588706700000, 1588706760000

AM, AMZN, 9156, 4995344, 2340, 2329.7795, 2332, 2328.7279, 2332, 2328.53, 2334.6731, 18, 1, 1588706760000, 1588706820000

AM, AMZN, 33442, 5028786, 2340, 2326.6661, 2328.6283, 2325, 2328.89, 2325, 2334.6199, 27, 1, 1588706820000, 1588706880000

AM, AMZN, 42308, 5071094, 2340, 2322.8215, 2324.01, 2322.6, 2325, 2321.62, 2334.5215, 27, 1, 1588706880000, 1588706940000

AM, AMZN, 27096, 5098190, 2340, 2321.9918, 2321.72, 2323.65, 2323.65, 2320.945, 2334.4549, 29, 1, 1588706940000, 1.588707e+12

AM, AMZN, 55138, 5153328, 2340, 2321.6781, 2322.93, 2322.2401, 2323.65, 2320, 2334.3182, 31, 1, 1.588707e+12, 1588707060000

AM, AMZN, 23592, 5176920, 2340, 2324.2015, 2322.11, 2322.45, 2325.6999, 2322.11, 2334.2721, 30, 1, 1588707060000, 1588707120000

AM, AMZN, 16936, 5193856, 2340, 2322.0709, 2323.24, 2321.53, 2323.53, 2320.7107, 2334.2323, 22, 1, 1588707120000, 1588707180000

AM, AMZN, 26294, 5220150, 2340, 2320.501, 2320.96, 2320.89, 2321.99, 2320, 2334.1631, 23, 1, 1588707180000, 1588707240000

AM, AMZN, 20180, 5240330, 2340, 2321.1448, 2321.43, 2322.6645, 2322.6645, 2320, 2334.113, 24, 1, 1588707240000, 1588707300000

