ev, sym, v, av, op, vw, o, c, h, l, a, z, n, s, e

AM, BYND, 11622, 6693624, 100.5, 97.2765, 97.3277, 97.22, 97.359, 97.15, 99.8624, 58, 1, 1588690320000, 1588690380000

AM, BYND, 30958, 6724582, 100.5, 97.2377, 97.35, 97.234, 97.3899, 97.04, 99.8503, 76, 1, 1588690380000, 1588690440000

AM, BYND, 21158, 6745740, 100.5, 97.1425, 97.1888, 97.168, 97.2, 97.068, 99.8418, 93, 1, 1588690440000, 1588690500000

AM, BYND, 32886, 6778626, 100.5, 97.2437, 97.05, 97.13, 97.3999, 97.05, 99.8292, 102, 1, 1588690500000, 1588690560000

AM, BYND, 88730, 6867356, 100.5, 97.0149, 97.15, 97.05, 97.1734, 96.92, 99.7928, 99, 1, 1588690560000, 1588690620000

AM, BYND, 69768, 6937124, 100.5, 96.9633, 97.01, 97.335, 97.39, 96.6628, 99.7644, 102, 1, 1588690620000, 1588690680000

AM, BYND, 47418, 6984542, 100.5, 97.369, 97.39, 97.27, 97.47, 97.26, 99.7481, 134, 1, 1588690680000, 1588690740000

AM, BYND, 28768, 7013310, 100.5, 97.3877, 97.315, 97.36, 97.57, 97.1, 99.7384, 91, 1, 1588690740000, 1588690800000

AM, BYND, 10474, 7023784, 100.5, 97.2093, 97.3538, 97.2199, 97.3538, 97.08, 99.7347, 48, 1, 1588690800000, 1588690860000

AM, BYND, 31582, 7055366, 100.5, 97.1303, 97.219, 97.3299, 97.3299, 97.0101, 99.723, 108, 1, 1588690860000, 1588690920000

AM, BYND, 21564, 7076930, 100.5, 97.3649, 97.1866, 97.5077, 97.54, 97.12, 99.7158, 111, 1, 1588690920000, 1588690980000

AM, BYND, 49518, 7126448, 100.5, 97.7755, 97.6, 97.9442, 97.97, 97.47, 99.7023, 104, 1, 1588690980000, 1588691040000

AM, BYND, 29506, 7155954, 100.5, 97.8275, 97.93, 97.8757, 97.93, 97.74, 99.6946, 113, 1, 1588691040000, 1588691100000

AM, BYND, 114134, 7270088, 100.5, 98.2208, 97.92, 98.2645, 98.5, 97.92, 99.6715, 138, 1, 1588691100000, 1588691160000

AM, BYND, 47922, 7318010, 100.5, 98.3851, 98.33, 98.3138, 98.5, 98.2401, 99.6631, 103, 1, 1588691160000, 1588691220000

AM, BYND, 24450, 7342460, 100.5, 98.3342, 98.2501, 98.3877, 98.46, 98.17, 99.6586, 71, 1, 1588691220000, 1588691280000

AM, BYND, 34810, 7377270, 100.5, 98.3182, 98.35, 98.2075, 98.45, 98.2, 99.6523, 100, 1, 1588691280000, 1588691340000

AM, BYND, 24400, 7401670, 100.5, 98.2236, 98.2899, 98.39, 98.4099, 98.1, 99.6476, 93, 1, 1588691340000, 1588691400000

AM, BYND, 26704, 7428374, 100.5, 98.3787, 98.32, 98.354, 98.45, 98.2901, 99.643, 106, 1, 1588691400000, 1588691460000

AM, BYND, 45690, 7474064, 100.5, 98.4221, 98.3993, 98.271, 98.516, 98.21, 99.6356, 115, 1, 1588691460000, 1588691520000

AM, BYND, 32022, 7506086, 100.5, 98.3667, 98.274, 98.329, 98.5, 98.26, 99.6302, 103, 1, 1588691520000, 1588691580000

AM, BYND, 14772, 7520858, 100.5, 98.2851, 98.2901, 98.23, 98.38, 98.2, 99.6275, 78, 1, 1588691580000, 1588691640000

AM, BYND, 22052, 7542910, 100.5, 98.2329, 98.27, 98.2149, 98.29, 98.12, 99.6234, 94, 1, 1588691640000, 1588691700000

AM, BYND, 70424, 7613334, 100.5, 98.1579, 98.1405, 98.2863, 98.2898, 98.1, 99.6099, 121, 1, 1588691700000, 1588691760000

AM, BYND, 25076, 13911844, 100.5, 100.3389, 100.2735, 100.3601, 100.49, 100.2202, 99.7478, 109, 1, 1588700940000, 1.588701e+12

AM, BYND, 18582, 13930426, 100.5, 100.274, 100.395, 100.2299, 100.4249, 100.08, 99.7485, 83, 1, 1.588701e+12, 1588701060000

AM, BYND, 27156, 13957582, 100.5, 100.1718, 100.2299, 100.2693, 100.3, 100.11, 99.7494, 122, 1, 1588701060000, 1588701120000

AM, BYND, 29720, 13987302, 100.5, 100.397, 100.2965, 100.42, 100.4943, 100.26, 99.7507, 107, 1, 1588701120000, 1588701180000

AM, BYND, 35070, 16944934, 100.5, 98.5021, 98.6579, 98.6, 98.6579, 98.4, 99.765, 89, 1, 1588707540000, 1588707600000

AM, BYND, 68592, 17013526, 100.5, 98.8293, 98.54, 99.0001, 99.23, 98.54, 99.7613, 78, 1, 1588707600000, 1588707660000

AM, BYND, 101620, 17115146, 100.5, 99.3097, 98.9398, 99.4, 99.49, 98.8247, 99.7586, 153, 1, 1588707660000, 1588707720000

AM, BYND, 57628, 17172774, 100.5, 99.3062, 99.41, 99.05, 99.6406, 99.04, 99.7571, 83, 1, 1588707720000, 1588707780000

AM, BYND, 44492, 17275740, 100.5, 99.3358, 99.39, 99.32, 99.44, 99.2301, 99.7543, 75, 1, 1588707900000, 1588707960000

AM, BYND, 41900, 17317640, 100.5, 99.2451, 99.35, 99.33, 99.4, 99.0701, 99.7531, 82, 1, 1588707960000, 1588708020000

